Player,Rank,Position,College,College Logo
Zion Ragins,298,WR,Mississippi State,mississippi-state.png
Luke Williams,299,S,Indiana,indiana.png
Mario Buford,300,CB,Nebraska,nebraska.png
Marcellus Barnes,301,CB,Wisconsin,wisconsin.png
Xavier Atkins,302,LB,LSU,lsu.png
Bryant Wesco,303,WR,Clemson,clemson.png
Ellis Davis,304,OT,Texas Tech,texas-tech.png
Guerby Lambert,305,OT,Notre Dame,notre-dame.png
Ryan Puglisi,306,QB,Georgia,georgia.png
Malcolm Ziglar,307,S,South Florida,south-florida.png
Adarius Hayes,308,LB,Miami (FL),miami-fl.png
Nate Kibble,309,IOL,Baylor,baylor.png
Paki Finau,310,IOL,BYU,byu.png
Dominic Kirks,311,DL,Northwestern,northwestern.png
Aaron Butler,312,WR,Texas,texas.png
Aeryn Hampton,313,WR,Alabama,alabama.png
Jalyn Crawford,314,CB,Auburn,auburn.png
Jordan Pride,315,S,Southern Miss,southern-miss.png
Peyton Morgan,316,S,Texas Tech,texas-tech.png
Kelvin Hunter,317,S,South Carolina,south-carolina.png
Ethan Calloway,318,OT,Wake Forest,wake-forest.png
Aaron Chiles,319,LB,Florida,florida.png
Boo Carter,320,S,Colorado,colorado.png
Xavier Lucas,321,S,Miami (FL),miami-fl.png
Rustin Young,322,OT,Michigan State,michigan-state.png
Sterling Dixon,323,ED,Alabama,alabama.png
Elijah Moore,324,WR,Syracuse,syracuse.png
Jamari Howard,325,CB,Florida State,florida-state.png
Corian Gipson,326,CB,Clemson,clemson.png
Santana Wilson,327,CB,Louisville,louisville.png
Armondo Blount,328,DL,Miami (FL),miami-fl.png
Jake Merklinger,329,QB,UConn,uconn.png
Gabe Williams,330,LB,Virginia Tech,virginia-tech.png
Mylachi Williams,331,DL,Virginia Tech,virginia-tech.png
Ricky Knight III,332,CB,Florida State,florida-state.png
Taylor Tatum,333,RB,Michigan,michigan.png
DJ Warner,334,ED,Kansas,kansas.png
Max Anderson,335,OT,Kentucky,kentucky.png
Kylan Fox,336,TE,Purdue,purdue.png
