GameId,Away,Home,Division,Conference,Week,Time,Primetime,International
155,Bengals,Commanders,FALSE,FALSE,,,,
156,Commanders,Giants,TRUE,TRUE,,,,
157,Cowboys,Giants,TRUE,TRUE,,,,
158,Eagles,Giants,TRUE,TRUE,,,,
159,Cardinals,Giants,FALSE,TRUE,,,,
160,49ers,Giants,FALSE,TRUE,,,,
161,Titans,Giants,FALSE,FALSE,,,,
162,Jaguars,Giants,FALSE,FALSE,,,,
163,Saints,Giants,FALSE,TRUE,,,,
164,Browns,Giants,FALSE,FALSE,,,,
165,Lions,Bears,TRUE,TRUE,,,,
166,Packers,Bears,TRUE,TRUE,,,,
167,Vikings,Bears,TRUE,TRUE,,,,
168,Saints,Bears,FALSE,TRUE,,,,
169,Buccaneers,Bears,FALSE,TRUE,,,,
170,Patriots,Bears,FALSE,FALSE,,,,
171,Jets,Bears,FALSE,FALSE,,,,
172,Eagles,Bears,FALSE,TRUE,,,,
173,Jaguars,Bears,FALSE,FALSE,,,,
174,Bears,Packers,TRUE,TRUE,,,,
175,Lions,Packers,TRUE,TRUE,,,,
176,Vikings,Packers,TRUE,TRUE,,,,
177,Falcons,Packers,FALSE,TRUE,,,,
178,Panthers,Packers,FALSE,TRUE,,,,
179,Bills,Packers,FALSE,FALSE,,,,
180,Dolphins,Packers,FALSE,FALSE,,,,
181,Cowboys,Packers,FALSE,TRUE,,,,
182,Texans,Packers,FALSE,FALSE,,,,
183,Bears,Vikings,TRUE,TRUE,,,,
184,Lions,Vikings,TRUE,TRUE,,,,
185,Packers,Vikings,TRUE,TRUE,,,,
186,Falcons,Vikings,FALSE,TRUE,,,,
187,Panthers,Vikings,FALSE,TRUE,,,,
188,Bills,Vikings,FALSE,FALSE,,,,
189,Dolphins,Vikings,FALSE,FALSE,,,,
190,Commanders,Vikings,FALSE,TRUE,,,,
191,Colts,Vikings,FALSE,FALSE,,,,
192,Bears,Lions,TRUE,TRUE,,,,
193,Packers,Lions,TRUE,TRUE,,,,
194,Vikings,Lions,TRUE,TRUE,,,,
195,Saints,Lions,FALSE,TRUE,,,,
196,Buccaneers,Lions,FALSE,TRUE,,,,
197,Patriots,Lions,FALSE,FALSE,,,,
198,Jets,Lions,FALSE,FALSE,,,,
199,Giants,Lions,FALSE,TRUE,,,,
200,Titans,Lions,FALSE,FALSE,,,,
201,Buccaneers,Panthers,TRUE,TRUE,,,,
202,Falcons,Panthers,TRUE,TRUE,,,,
203,Saints,Panthers,TRUE,TRUE,,,,
204,Bears,Panthers,FALSE,TRUE,,,,
205,Lions,Panthers,FALSE,TRUE,,,,
206,Ravens,Panthers,FALSE,FALSE,,,,
207,Bengals,Panthers,FALSE,FALSE,,,,
208,Seahawks,Panthers,FALSE,TRUE,,,,
209,Broncos,Panthers,FALSE,FALSE,,,,
210,Falcons,Buccaneers,TRUE,TRUE,,,,
211,Panthers,Buccaneers,TRUE,TRUE,,,,
212,Saints,Buccaneers,TRUE,TRUE,,,,
213,Packers,Buccaneers,FALSE,TRUE,,,,
214,Vikings,Buccaneers,FALSE,TRUE,,,,
215,Browns,Buccaneers,FALSE,FALSE,,,,
