GameId,Away,Home,Week,Day,Time
151,Colts,Texans,11,TNF,20:15
152,Jaguars,Giants,11,Sun,13:00
153,Saints,Bears,11,Sun,13:00
154,Dolphins,Bills,11,Sun,13:00
155,Ravens,Panthers,11,Sun,13:00
156,Titans,Cowboys,11,Sun,13:00
157,Cardinals,Chiefs,11,Sun,13:00
158,Buccaneers,Lions,11,Sun,13:00
159,Jets,Chargers,11,Sun,16:05
160,Raiders,Broncos,11,Sun,16:25
161,Steelers,Eagles,11,Sun,16:25
162,Vikings,49ers,11,MEX,20:20
163,Bengals,Commanders,11,MNF,20:15
164,Packers,Rams,12,Wed,20:00
165,Bears,Lions,12,THX,13:00
166,Eagles,Cowboys,12,THX,16:30
167,Chiefs,Bills,12,THX,20:20
168,Broncos,Steelers,12,Fri,15:00
169,Jets,Dolphins,12,Sun,13:00
170,Ravens,Texans,12,Sun,13:00
171,Saints,Bengals,12,Sun,13:00
172,Raiders,Browns,12,Sun,13:00
173,Giants,Colts,12,Sun,13:00
174,Falcons,Vikings,12,Sun,13:00
175,Titans,Jaguars,12,Sun,16:05
176,Commanders,Cardinals,12,Sun,16:25
177,Seahawks,49ers,12,Sun,16:25
178,Patriots,Chargers,12,SNF,20:20
179,Panthers,Buccaneers,12,MNF,20:15
180,Chiefs,Rams,13,TNF,20:15
181,Jaguars,Bears,13,Sun,13:00
182,49ers,Giants,13,Sun,13:00
183,Bengals,Browns,13,Sun,13:00
184,Commanders,Titans,13,Sun,13:00
185,Chargers,Buccaneers,13,Sun,13:00
186,Lions,Falcons,13,Sun,13:00
187,Packers,Saints,13,Sun,13:00
188,Eagles,Cardinals,13,Sun,16:05
189,Dolphins,Broncos,13,Sun,16:05
190,Bills,Patriots,13,Sun,16:25
191,Panthers,Vikings,13,Sun,16:25
192,Texans,Steelers,13,SNF,20:20
193,Cowboys,Seahawks,13,MNF,20:15
194,Vikings,Patriots,14,TNF,20:15
195,Broncos,Jets,14,Sun,13:00
196,Texans,Commanders,14,Sun,13:00
197,Bears,Dolphins,14,Sun,13:00
198,Buccaneers,Ravens,14,Sun,13:00
199,Falcons,Browns,14,Sun,13:00
200,Colts,Eagles,14,Sun,13:00
201,Titans,Lions,14,Sun,13:00
202,Saints,Panthers,14,Sun,13:00
203,Chargers,Raiders,14,Sun,16:05
204,Giants,Seahawks,14,Sun,16:25
205,Rams,49ers,14,Sun,16:25
206,Chiefs,Bengals,14,Sun,16:25
207,Bills,Packers,14,SNF,20:20
208,Steelers,Jaguars,14,MNF,20:15
209,49ers,Chargers,15,TNF,20:15
210,Seahawks,Eagles,15,Sat,17:00
211,Bears,Bills,15,Sat,20:20
212,Browns,Giants,15,Sun,13:00
213,Falcons,Commanders,15,Sun,13:00
214,Dolphins,Packers,15,Sun,13:00
215,Ravens,Steelers,15,Sun,13:00
216,Bengals,Panthers,15,Sun,13:00
217,Jaguars,Texans,15,Sun,13:00
218,Colts,Titans,15,Sun,13:00
219,Saints,Buccaneers,15,Sun,13:00
220,Jets,Cardinals,15,Sun,16:05
221,Cowboys,Rams,15,Sun,16:25
222,Broncos,Raiders,15,Sun,16:25
223,Lions,Vikings,15,SNF,20:20
224,Patriots,Chiefs,15,MNF,20:15
225,Texans,Eagles,16,TNF,20:15
226,Packers,Bears,16,XMS,13:00
227,Bills,Broncos,16,XMS,16:30
228,Rams,Seahawks,16,XMS,20:15
229,Patriots,Jets,16,Sun,13:00
230,Chargers,Dolphins,16,Sun,13:00
231,Browns,Ravens,16,Sun,13:00
232,Cardinals,Saints,16,Sun,13:00
233,Titans,Raiders,16,Sun,16:05
234,49ers,Chiefs,16,Sun,16:25
235,Bengals,Colts,16,TBD,
236,Panthers,Steelers,16,TBD,
237,Commanders,Vikings,16,TBD,
238,Buccaneers,Falcons,16,TBD,
239,Jaguars,Cowboys,16,SNF,20:20
240,Giants,Lions,16,MNF,20:15
241,Ravens,Bengals,17,TNF,20:15
242,Vikings,Jets,17,Sun,13:00
243,Bills,Dolphins,17,Sun,13:00
244,Colts,Browns,17,Sun,13:00
245,Steelers,Titans,17,Sun,13:00
246,Giants,Cowboys,17,Sun,13:00
247,Saints,Falcons,17,Sun,13:00
248,Seahawks,Panthers,17,Sun,13:00
249,Raiders,Cardinals,17,Sun,16:05
250,Lions,Bears,17,Sun,16:25
251,Broncos,Patriots,17,TBD,
252,Commanders,Jaguars,17,TBD,
253,Chiefs,Chargers,17,TBD,
254,Rams,Buccaneers,17,TBD,
255,Eagles,49ers,17,SNF,20:20
256,Texans,Packers,17,MNF,20:15
257,Jets,Bills,18,TBD,
258,Dolphins,Patriots,18,TBD,
259,Steelers,Ravens,18,TBD,
260,Browns,Bengals,18,TBD,
261,Titans,Texans,18,TBD,
262,Jaguars,Colts,18,TBD,
263,Chargers,Broncos,18,TBD,
264,Raiders,Chiefs,18,TBD,
265,Cowboys,Commanders,18,TBD,
266,Eagles,Giants,18,TBD,
267,Bears,Vikings,18,TBD,
268,Lions,Packers,18,TBD,
269,Falcons,Panthers,18,TBD,
270,Buccaneers,Saints,18,TBD,
271,49ers,Cardinals,18,TBD,
272,Seahawks,Rams,18,TBD,
